,source,target
0,"so , unless that 's gon na be feasible , then ...","unless that's gon'be possible, then..."
1,"by now , singh 's probably been arrested .","now, singh's probably been arrested."
2,“ why not ?,“ why not? ”
3,an old man 's mistake … ',an old man's mistake.
4,he reached for a microphone and i could hear his voice booming faintly throughout the ship .,he reached for a microphone and i could hear his voice booming through the ship.
5,"he loved that little man , by the way .",he loved that little man.
6,"i 've been very , very lucky .",i've been very lucky.
7,"well , then , i 'm kind of gon na rub this dinner in her face next time i see her .","well, i'm going to rub this dinner in her face next time i see her."
8,"it 's like , gross , yet oddly delicious .","it's like, gross, yet oddly delicious."
9,not as much as i 'd like,not as much as i 'd like to see.
10,there 's no doubt in my mind that this is the right group of men but we still have to prove it to the ministry .,there's no doubt in my mind that this is the right group of men
11,"no short colin powell haircut , havin'-ass motherfucker . get ’ im !","no short colin powell haircut, havin' ass motherfucker. get ’ im!"
12,it 's so hard . mmm . and there 's a baby growing inside .,it's so hard. mmm. and there's a baby growing inside.
13,"none of us likes to believe a servant of father church can be in error , and for those of the clergy there is an added dimension .","none of us likes to believe a servant of father church can be wrong,"
14,'up ! ' he commanded .,'up!'he commanded.
15,"i dunno what world you live in , what your game is , what you 're into , but ... i think i 'm done here .","i'm not sure what world you live in, what your game"
16,"goddamn it , 57 !",57!
17,“ now i am mephisto .,“ i am mephisto.
18,"december 12 , 1973 he made out a christmas list the night before ( drunk ) and was now downtown filling an abridged version .","december 12, 1973 he made out a christmas list the night"
19,"`` how ? '' asked gimlet , seeing no hiding place on the flat plain .","`` how? '' he asked gimlet, seeing no hiding place on the flat plain."
20,you should spend some time taking a personal inventory of what you 're doing for the betterment of society .,you should take a look at your life and see what you're doing for the betterment of society
21,"oh , vince ... you know , how every cop always leaves his house with a gun ?",how every cop always leaves his house with a gun?
22,"and me , i 've got my old singin ' partner back .",and i've got my old partner back.
23,i 'm assuming .,i'm assuming.
24,but they are often sentimental about churchill .,but they're often sentimental about churchill.
25,i 'll cum on my cat 's face .,i 'll cum on my cat's face.
26,bob and i had a little chat ... and we 're thinking we 're gon na organize a handling run for you .,"bob and i had a little chat, and we're thinking we're"
27,we ca n't wear gloves to do it because that would be seen as insulting .,we can't wear gloves to do it because it would be seen as insulting.
28,"under the current rules , vat on natural gas and electricity is levied at the place where they are actually consumed by the customer .","under the current rules, vat on natural gas and electricity is levied at the place"
29,that 's not even a lake . that 's luden pond .,that's not even a lake. that's luden pond.
30,"just like that -- as you 're telling him this , you realize that you 're attracted to him also .","as you're telling him this, you realize that you're attracted to him also."
31,i am 40 years old .,i'm 40 years old.
32,she screwed up and she ca n't admit the fact .,she screwed up and she can't admit it.
33,"we 're still doing that , right ?","we're still doing that, right?"
34,"she 's gon na be taking over for me , starting next week .","she's gonna be taking over for me, starting next week."
35,"having seen to the needs of my car , i walked into the office to get those glasses and pay for the gas .",i went into the office to get the glasses and pay for the gas.
36,"that i say nothing about what i see , what i hear ?","i say nothing about what i see, what i hear?"
37,eu/1/00/146/036 100 x 1 tablets,eu/1/00/146/036 100 x 1 tablets 100 x 1
38,but-but i-i can get him to tell me who 's making this stuff .,but i can get him to tell me who's making this stuff.
39,i do n't know how many i 've decorated today ...,i don 't know how many i've decorated today.
40,"as soon as i 'm finished , i can try again .",i'm going to try again.
41,"i reckon you 've got a right , major .","i'm sure you've got a right, major."
42,`` what we did then instead was this :,"`` we did not do anything then, we just did not do anything. ''"
43,but i didn'tdo nothin ' .,but i didn 't do anything.
44,"but why am i telling you this ? if you missed out , you 're too late .","but why am i telling you this? if you missed out, you're too late."
45,"uh , my kitchen sink is clogged and my boyfriend is kind of useless , so ...","my kitchen sink is clogged and my boyfriend is useless, so..."
46,it 's like my stomach ties up in knots . and i ca n't breathe . and sometimes i think i 'm gon na throw up .,it's like my stomach is tied up in knots. and
47,select sid from shared_sessions where sid = 'bcdd1884d7777f2f888fae206241f2bb ' in /var/www/tutor/includes/database.mysql.inc on line 120,select
48,"best you can , mike . - yes , sir .","best you can, mike."
49,later,"later, later, later."
50,just wait till you go get the hamburgers . all right ?,wait till you get the hamburgers.
51,"oh , well . i do n't care about anything , anyway .","i don 't care about anything, anyway."
52,the opening of the spa season is traditionally connected with blessing the springs at the colonnade and speeches of the town and the spa company representatives .,the opening of the spa season is traditionally connected with the blessing of the
53,it 's like the family pet .,it's like the family pet.
54,`` it should n't be your responsibility .,`` it's not your responsibility. ''
55,me ? i 'm not talking about me .,i'm not talking about me. i'm not talking about me.
56,"so you 're telling me everything you 've done -- taking the 4400 , sending them back . -- it has n't changed anything ?",so you're telling me that you've done everything you '
57,"thank you , master of the bloody obvious .","thank you, master of the obvious."
58,"hey , there we go . hey , all we need now is pizza . we 've get ourselves one hell of the evening","hey, we've got ourselves a hell of a night. we've got ourselves"
59,it 's almost too much juxtaposition for me .,it's too much for me.
60,"fm seeing what he 's doing now , she thought .","fm seeing what he's doing now, she thought."
61,"fifteen minutes past midnight , evers got out of his car beside his home in a negro residential area .","fifteen minutes past midnight, evers got out of his car in a negro neighborhood."
62,all right . let 's go .,let's go. let's go.
63,that 's his dead son 's birthday .,that's his dead son's birthday.
64,"so why not just pack up all your belongings and take a chance in the badlands , 'cause this town is done .","so why not just pack up and go to the badlands, 'cause this town is"
65,"then he must leave . well , perhaps by then you will have seen the truth .",then he must leave. maybe by then you 'll have seen the truth.
66,"um ... forever . and you , why are you sneaking out here in the middle of the night if you 're not scared ?",you're not scared? you're not scared?
67,"you 're a good man , johnson .","you're a good man, johnson."
68,"yeah . we 'd sleep in , then go to church .","we 'd sleep in, then go to church."
69,"only in the most northern zone , the pec/pnec ratio ( 10 ) using the mean concentration is below 1 .","only in the most northern zone, the pec/pnec ratio ( 10 ) is"
70,"oh , my gosh ...","oh, my gosh... my god... my god... oh, my god... oh, my god... oh, my god... oh, my god... oh, my god..."
71,"you know , he 'd be pretty damn mad if he knew i was talking to you .",he 'd be mad if he knew i was talking to you.
72,"your boy al , he 's pixilated or something . he wo n't listen to reason .","your boy al, he's pixilated or something. he didn 't listen to reason."
73,i should let you get back to sleep .,i should let you go to sleep.
74,"i 'm sorry , i do n't mean to tell you what you should ask anyone , i would never dare , but ...","i'm sorry, i don 't mean to tell you what you should ask"
75,the commission would though point out that this preliminary conclusion is based on a certain number of assumptions .,the commission would point out that the preliminary conclusion is based on certain assumptions.
